step,num_vehicles,avg_intervehicular_distance,northbound_flow,southbound_flow,northbound_speed,southbound_speed,average_speed
5,3,44.474948051315735,3,0,22.350499999999997,0.0,22.35066666666667
10,5,44.55969274555099,5,0,22.349999999999998,0.0,22.35
15,5,44.49947363479389,5,0,22.15654372134665,0.0,22.117852465615982
20,5,44.48319455172311,5,0,22.349999999999998,0.0,22.35
25,5,44.44020384500227,5,0,22.349999999999998,0.0,22.35
30,5,44.47974942376261,5,0,22.349999999999998,0.0,22.35
35,5,44.4645281708309,5,0,22.171598043543753,0.0,22.135917652252505
40,5,44.49467536085669,5,0,22.342837356636302,0.0,22.342837356636302
45,5,44.229195875098156,5,0,21.562064561422027,0.0,21.56206456142203
50,5,45.366671189768084,5,0,21.93915701240374,0.0,21.856988414884487
55,5,278.6861994731574,5,0,22.299008240129048,0.0,22.231465154740402
60,5,284.0129083756968,5,0,21.12577354430075,0.0,19.474989864779623
65,5,19.67537865548982,4,0,17.554968907725968,0.0,7.754217045035963
70,5,25.368080706037222,4,0,14.679296496968039,0.0,2.4697015275420355
75,5,35.29474211811166,3,0,16.2381853722651,0.0,3.992625966021697
80,5,29.335339047638236,2,0,14.752763170927919,0.0,8.841202036133874
85,5,25.801662480692375,5,0,16.014119347541804,0.0,11.357024184427255
